"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 13:03:21 GMT 2023","Sun Dec 17 13:03:24 GMT 2023","2304","tests","test_api","TestScrapers","","","test_scrapers[autosienaScraper]",""
"passed","Sun Dec 17 13:01:27 GMT 2023","Sun Dec 17 13:01:28 GMT 2023","909","tests","test_api","TestScrapers","","","test_scrapers[ensemblesoftwareScraper]",""
"passed","Sun Dec 17 13:00:30 GMT 2023","Sun Dec 17 13:00:32 GMT 2023","1910","tests","test_api","TestScrapers","","","test_scrapers[softingScraper]",""
"passed","Sun Dec 17 13:03:56 GMT 2023","Sun Dec 17 13:03:59 GMT 2023","2635","tests","test_api","TestScrapers","","","test_scrapers[ipsoScraper]",""
"passed","Sun Dec 17 13:00:36 GMT 2023","Sun Dec 17 13:00:37 GMT 2023","1110","tests","test_api","TestScrapers","","","test_scrapers[rervestScraper]",""
"passed","Sun Dec 17 12:59:47 GMT 2023","Sun Dec 17 12:59:49 GMT 2023","1820","tests","test_api","TestScrapers","","","test_scrapers[saladboxScraper]",""
"passed","Sun Dec 17 13:03:47 GMT 2023","Sun Dec 17 13:03:48 GMT 2023","1363","tests","test_api","TestScrapers","","","test_scrapers[sinapsScraper]",""
"passed","Sun Dec 17 13:00:26 GMT 2023","Sun Dec 17 13:00:28 GMT 2023","1240","tests","test_api","TestScrapers","","","test_scrapers[splendorScraper]",""
"passed","Sun Dec 17 13:01:31 GMT 2023","Sun Dec 17 13:01:32 GMT 2023","943","tests","test_api","TestScrapers","","","test_scrapers[ellisiumScraper]",""
"passed","Sun Dec 17 13:00:53 GMT 2023","Sun Dec 17 13:00:54 GMT 2023","1024","tests","test_api","TestScrapers","","","test_scrapers[panifcomScraper]",""
"passed","Sun Dec 17 13:01:55 GMT 2023","Sun Dec 17 13:01:57 GMT 2023","2104","tests","test_api","TestScrapers","","","test_scrapers[consultmedScraper]",""
"passed","Sun Dec 17 13:03:25 GMT 2023","Sun Dec 17 13:03:26 GMT 2023","1183","tests","test_api","TestScrapers","","","test_scrapers[autoclassScraper]",""
"passed","Sun Dec 17 13:00:35 GMT 2023","Sun Dec 17 13:00:36 GMT 2023","975","tests","test_api","TestScrapers","","","test_scrapers[secondtexScraper]",""
"passed","Sun Dec 17 13:01:28 GMT 2023","Sun Dec 17 13:01:31 GMT 2023","3060","tests","test_api","TestScrapers","","","test_scrapers[elytishospitalScraper]",""
"passed","Sun Dec 17 13:01:10 GMT 2023","Sun Dec 17 13:01:14 GMT 2023","4415","tests","test_api","TestScrapers","","","test_scrapers[inovagroupScraper]",""
"passed","Sun Dec 17 13:04:00 GMT 2023","Sun Dec 17 13:04:01 GMT 2023","1018","tests","test_api","TestScrapers","","","test_scrapers[vetroScraper]",""
"passed","Sun Dec 17 13:01:03 GMT 2023","Sun Dec 17 13:01:06 GMT 2023","2623","tests","test_api","TestScrapers","","","test_scrapers[leierScraper]",""
"passed","Sun Dec 17 13:04:04 GMT 2023","Sun Dec 17 13:04:05 GMT 2023","1841","tests","test_api","TestScrapers","","","test_scrapers[noodlepackScraper]",""
"passed","Sun Dec 17 13:01:57 GMT 2023","Sun Dec 17 13:01:58 GMT 2023","1236","tests","test_api","TestScrapers","","","test_scrapers[connectgroupScraper]",""
"passed","Sun Dec 17 13:00:52 GMT 2023","Sun Dec 17 13:00:53 GMT 2023","896","tests","test_api","TestScrapers","","","test_scrapers[oradeatechhubScraper]",""
"passed","Sun Dec 17 13:00:43 GMT 2023","Sun Dec 17 13:00:52 GMT 2023","9547","tests","test_api","TestScrapers","","","test_scrapers[PagoScraper]",""
"passed","Sun Dec 17 13:02:01 GMT 2023","Sun Dec 17 13:02:02 GMT 2023","729","tests","test_api","TestScrapers","","","test_scrapers[britishcouncilScraper]",""
"passed","Sun Dec 17 13:03:31 GMT 2023","Sun Dec 17 13:03:33 GMT 2023","2064","tests","test_api","TestScrapers","","","test_scrapers[artvertisingScraper]",""
"passed","Sun Dec 17 12:59:58 GMT 2023","Sun Dec 17 13:00:05 GMT 2023","6914","tests","test_api","TestScrapers","","","test_scrapers[velpitarScraper]",""
"passed","Sun Dec 17 13:00:09 GMT 2023","Sun Dec 17 13:00:26 GMT 2023","16990","tests","test_api","TestScrapers","","","test_scrapers[titanmachineryScraper]",""
"passed","Sun Dec 17 13:04:01 GMT 2023","Sun Dec 17 13:04:04 GMT 2023","2620","tests","test_api","TestScrapers","","","test_scrapers[urbicaScraper]",""
"passed","Sun Dec 17 13:02:05 GMT 2023","Sun Dec 17 13:02:08 GMT 2023","2073","tests","test_api","TestScrapers","","","test_scrapers[careerscenterScraper]",""
"passed","Sun Dec 17 13:00:58 GMT 2023","Sun Dec 17 13:00:59 GMT 2023","774","tests","test_api","TestScrapers","","","test_scrapers[nielseniqScraper]",""
"passed","Sun Dec 17 12:59:55 GMT 2023","Sun Dec 17 12:59:58 GMT 2023","2748","tests","test_api","TestScrapers","","","test_scrapers[urbioScraper]",""
"passed","Sun Dec 17 13:03:18 GMT 2023","Sun Dec 17 13:03:19 GMT 2023","1159","tests","test_api","TestScrapers","","","test_scrapers[baswareScraper]",""
"passed","Sun Dec 17 13:01:08 GMT 2023","Sun Dec 17 13:01:10 GMT 2023","1400","tests","test_api","TestScrapers","","","test_scrapers[InterbrandsOrbicoScraper]",""
"passed","Sun Dec 17 13:01:14 GMT 2023","Sun Dec 17 13:01:17 GMT 2023","2587","tests","test_api","TestScrapers","","","test_scrapers[iasideliveryScraper]",""
"passed","Sun Dec 17 13:00:29 GMT 2023","Sun Dec 17 13:00:30 GMT 2023","633","tests","test_api","TestScrapers","","","test_scrapers[sonrisatechnologiesScraper]",""
"passed","Sun Dec 17 13:03:39 GMT 2023","Sun Dec 17 13:03:40 GMT 2023","1069","tests","test_api","TestScrapers","","","test_scrapers[allengraScraper]",""
"passed","Sun Dec 17 13:01:17 GMT 2023","Sun Dec 17 13:01:19 GMT 2023","1461","tests","test_api","TestScrapers","","","test_scrapers[GazduireJocuriScraper]",""
"passed","Sun Dec 17 13:03:19 GMT 2023","Sun Dec 17 13:03:20 GMT 2023","1144","tests","test_api","TestScrapers","","","test_scrapers[bakertillyScraper]",""
"passed","Sun Dec 17 13:02:00 GMT 2023","Sun Dec 17 13:02:01 GMT 2023","962","tests","test_api","TestScrapers","","","test_scrapers[casaautoiasiScraper]",""
"passed","Sun Dec 17 13:00:28 GMT 2023","Sun Dec 17 13:00:29 GMT 2023","1513","tests","test_api","TestScrapers","","","test_scrapers[speedservicesatumareScraper]",""
"passed","Sun Dec 17 13:01:17 GMT 2023","Sun Dec 17 13:01:17 GMT 2023","948","tests","test_api","TestScrapers","","","test_scrapers[htecgroupScraper]",""
"failed","Sun Dec 17 12:59:52 GMT 2023","Sun Dec 17 12:59:54 GMT 2023","1733","tests","test_api","TestScrapers","","","test_scrapers[sandraScraper]",""
"passed","Sun Dec 17 13:01:53 GMT 2023","Sun Dec 17 13:01:54 GMT 2023","875","tests","test_api","TestScrapers","","","test_scrapers[CreatopyScraper]",""
"passed","Sun Dec 17 13:01:26 GMT 2023","Sun Dec 17 13:01:27 GMT 2023","716","tests","test_api","TestScrapers","","","test_scrapers[etusoftScraper]",""
"passed","Sun Dec 17 13:01:43 GMT 2023","Sun Dec 17 13:01:45 GMT 2023","2158","tests","test_api","TestScrapers","","","test_scrapers[CSGroupScraper]",""
